Name_of_Campaign,Date_Campaign,Group,Division,Brand,Line,Type_of_Product,Product_Form,Formula_Number,Commercial_Shade_Name,Technical_Number,Commercial_Number,Level,Booster_Formula_Number,Alkaline_Agent,Quantity_49,Quantity_671,Developer_Strength,Developer_Formula_Number,Mixture,Processing_Time_min,Fiber_Code,Type_of_Fibre,Fiber,Percent_White,Fiber_Origin,L_Transposed,a_Transposed,b_Transposed,C_Transposed,H_Transposed,Reflect,Primary_Reflect,Secondary_Reflect
CC IgoraVibranceHydrocare,10/19/2009,HENKEL,Schwarzkopf Professional,Igora,Igora Vibrance Hydrocare,Coloration Acide,Gel,,Chatain Fonce Naturel Beige,,,3,,,0,,13V,,1+1,20,BN,Meche,BN,90,Caucasien,25.63,3.85,5.09,6.38,52.9,,,
CC IgoraVibranceHydrocare,10/19/2009,HENKEL,Schwarzkopf Professional,Igora,Igora Vibrance Hydrocare,Coloration Acide,Gel,,Chatain Moyen Cendre Fume,,,4,,,0,,13V,,1+1,20,BN,Meche,BN,90,Caucasien,25.8,0.03,-3.14,3.14,-89.45,,,
CC IgoraVibranceHydrocare,10/19/2009,HENKEL,Schwarzkopf Professional,Igora,Igora Vibrance Hydrocare,Coloration Acide,Gel,,Chatain Moyen Acajou Violet,,,4,,,0,,13V,,1+1,20,BN,Meche,BN,90,Caucasien,22.81,8,1.73,8.18,12.2,,,
CC IgoraVibranceHydrocare,10/19/2009,HENKEL,Schwarzkopf Professional,Igora,Igora Vibrance Hydrocare,Coloration Acide,Gel,,Chatain Clair Dore Acajou,,,5,,,0,,13V,,1+1,20,BN,Meche,BN,90,Caucasien,24.17,6.93,4.37,8.19,32.24,,,
CC IgoraVibranceHydrocare,10/19/2009,HENKEL,Schwarzkopf Professional,Igora,Igora Vibrance Hydrocare,Coloration Acide,Gel,,Chatain Clair Rouge Acajou,,,5,,,0,,13V,,1+1,20,BN,Meche,BN,90,Caucasien,31.87,25.18,16.07,29.87,32.55,,,
CC IgoraVibranceHydrocare,10/19/2009,HENKEL,Schwarzkopf Professional,Igora,Igora Vibrance Hydrocare,Coloration Acide,Gel,,Blond Fonce Naturel Beige,,,6,,,0,,13V,,1+1,20,BN,Meche,BN,90,Caucasien,33.84,4.15,7.56,8.62,61.24,,,
CC IgoraVibranceHydrocare,10/19/2009,HENKEL,Schwarzkopf Professional,Igora,Igora Vibrance Hydrocare,Coloration Acide,Gel,,Blond Moyen Beige Acajou,,,7,,,0,,13V,,1+1,20,BN,Meche,BN,90,Caucasien,31.61,5.99,8.46,10.37,54.7,,,
CC IgoraVibranceHydrocare,10/19/2009,HENKEL,Schwarzkopf Professional,Igora,Igora Vibrance Hydrocare,Coloration Acide,Gel,,Blond Clair Naturel Beige,,,8,,,0,,13V,,1+1,20,BN,Meche,BN,90,Caucasien,46.04,4.13,9.56,10.41,66.64,,,
CC IgoraVibranceHydrocare,10/19/2009,HENKEL,Schwarzkopf Professional,Igora,Igora Vibrance Hydrocare,Coloration Acide,Gel,,Blond Tres Clair Naturel Perle,,,9,,,0,,13V,,1+1,20,BN,Meche,BN,90,Caucasien,48.1,4.62,8.58,9.74,61.7,,,
CC Color Fusion Rubilane,3/1/2010,HENKEL,Schwarzkopf,Igora Royal,Igora Royal,Coloration Oxidation,Creme,,Igora Royal 5-7,5.4,,5,,,,,20V,,1+1,30,BN,Meche,BN,90,Caucasien,30.82,19.4,17.26,25.97,41.66,,,
CC Color Fusion Rubilane,3/1/2010,HENKEL,Schwarzkopf,Igora Royal,Igora Royal,Coloration Oxidation,Creme,,Igora Royal 5-7,5.4,,5,,,,,20V,,1+1,30,BP,Meche,BP,90,Caucasien,28.27,19.37,14.91,24.44,37.59,,,
CC Color Fusion Rubilane,3/1/2010,HENKEL,Schwarzkopf,Igora Royal,Igora Royal,Coloration Oxidation,Creme,,Igora Royal 6-7,6.4,,6,,,,,20V,,1+1,30,BN,Meche,BN,90,Caucasien,32.97,21.73,20.04,29.56,42.68,,,
CC Color Fusion Rubilane,3/1/2010,HENKEL,Schwarzkopf,Igora Royal,Igora Royal,Coloration Oxidation,Creme,,Igora Royal 6-7,6.4,,6,,,,,20V,,1+1,30,BP,Meche,BP,90,Caucasien,30.87,22.43,18.91,29.34,40.13,,,
CC Color Fusion Rubilane,3/1/2010,HENKEL,Schwarzkopf,Igora Royal,Igora Royal,Coloration Oxidation,Creme,,Igora Royal 7-7,7.4,,7,,,,,20V,,1+1,30,BN,Meche,BN,90,Caucasien,41.71,22.11,26.41,34.44,50.06,,,
CC Color Fusion Rubilane,3/1/2010,HENKEL,Schwarzkopf,Igora Royal,Igora Royal,Coloration Oxidation,Creme,,Igora Royal 7-7,7.4,,7,,,,,20V,,1+1,30,BP,Meche,BP,90,Caucasien,35.94,21.88,22.58,31.44,45.9,,,
CC Color Fusion Rubilane,3/1/2010,HENKEL,Schwarzkopf,Igora Royal,Igora Royal,Coloration Oxidation,Creme,,Igora Royal 7-87,7.46,,7,,,,,20V,,1+1,30,BN,Meche,BN,90,Caucasien,32.35,25.07,17.53,30.59,34.96,,,
CC Color Fusion Rubilane,3/1/2010,HENKEL,Schwarzkopf,Igora Royal,Igora Royal,Coloration Oxidation,Creme,,Igora Royal 7-87,7.46,,7,,,,,20V,,1+1,30,BP,Meche,BP,90,Caucasien,31.37,28.21,18.65,33.82,33.47,,,
CC Color Fusion Rubilane,3/1/2010,HENKEL,Schwarzkopf,Igora Royal,Igora Royal,Coloration Oxidation,Creme,,Igora Royal 5-7,5.4,,5,,,,,20V,,1+1,30,HT6,Meche,HT6,0,Caucasien,25.04,11.03,8.38,13.85,37.23,,,
CC Color Fusion Rubilane,3/1/2010,HENKEL,Schwarzkopf,Igora Royal,Igora Royal,Coloration Oxidation,Creme,,Igora Royal 6-7,6.4,,6,,,,,20V,,1+1,30,HT6,Meche,HT6,0,Caucasien,28.26,13.64,12.19,18.29,41.79,,,
CC Color Fusion Rubilane,3/1/2010,HENKEL,Schwarzkopf,Igora Royal,Igora Royal,Coloration Oxidation,Creme,,Igora Royal 7-7,7.4,,7,,,,,20V,,1+1,30,HT6,Meche,HT6,0,Caucasien,29.16,14.53,14.52,20.54,44.98,,,
CC Color Fusion Rubilane,3/1/2010,HENKEL,Schwarzkopf,Igora Royal,Igora Royal,Coloration Oxidation,Creme,,Igora Royal 7-87,7.46,,7,,,,,20V,,1+1,30,HT6,Meche,HT6,0,Caucasien,26.08,15.42,11.47,19.22,36.64,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Warm Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,29.54,7.06,5.61,9.02,38.47,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Warm Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,28.84,7.24,5.98,9.39,39.56,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Warm Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,28.94,6.58,5.86,8.81,41.69,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Warm Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,27.94,7.79,5.79,9.71,36.62,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Warm Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,27.93,6.61,5.52,8.61,39.87,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Warm Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,24.31,7.1,4.98,8.67,35.05,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Warm Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,23.95,4.48,4.71,6.5,46.43,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Warm Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,23.28,5.16,4.97,7.16,43.93,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Matt Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,33.12,3.45,8.77,9.42,68.53,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Matt Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,32.11,3.47,10.48,11.04,71.68,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Matt Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,31.49,3.26,9.94,10.46,71.84,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Matt Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,28.76,3.39,10.11,10.66,71.46,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Matt Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,29.96,3.37,9.98,10.53,71.34,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Matt Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,28.92,3.24,9.86,10.38,71.81,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Matt Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,27.97,2.96,8.11,8.63,69.95,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Matt Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,25.28,3.23,8.07,8.69,68.19,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Matt Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,24.61,2.75,6.41,6.97,66.78,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Matt Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,23.4,2.59,6.2,6.72,67.33,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Natural Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,21.63,2.06,3.87,4.38,61.97,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Natural Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,20.89,2.34,4.53,5.1,62.68,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Natural Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,21.09,1.1,2.07,2.34,62.01,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Natural Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,18.02,0.43,-0.03,0.43,-3.99,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Blue Violet,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,28.07,14.13,-4.36,14.79,-17.15,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Blue Violet,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,26.22,14.32,-4.39,14.98,-17.04,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Blue Violet,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,20.75,8.89,-3.47,9.54,-21.32,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Blue Violet,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,21.42,10.38,-3.21,10.87,-17.18,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Brown,Coloration Oxidation,Creme,,Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,38.33,7.03,10.52,12.65,56.25,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Blue Silver,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,42.76,0.11,-4.81,4.81,-88.69,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Brown,Coloration Oxidation,Creme,,Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,43.13,6.06,10.99,12.55,61.13,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Blue Silver,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,40.44,0.09,-9.08,9.08,-89.43,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Blue Silver,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,42.5,0.53,-4.26,4.29,-82.91,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Blue Silver,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,39.23,-0.29,-10.1,10.1,88.36,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Blue Silver,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,45,-0.79,-6.43,6.48,83,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Red Violet,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,27.22,11.73,3.83,12.34,18.08,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Red Violet,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,29.19,12.3,3.13,12.69,14.28,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Red Mahogany,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,37.54,21.48,10.95,24.11,27.01,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Red Mahogany,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,37.93,26.58,12.55,29.39,25.27,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Red Mahogany,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,36.69,21.7,10.76,24.22,26.37,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Red Mahogany,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,35.53,23.95,10.15,26.01,22.97,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Red Mahogany,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,33.22,18.18,10.61,21.05,30.27,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Red Mahogany,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,33.09,21.7,10.1,23.94,24.96,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Red Copper,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,38.3,22.89,22.17,31.87,44.08,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Red Copper,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,39.06,26.92,25.46,37.05,43.4,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Orange Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,34.84,12.04,12.51,17.36,46.1,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Orange Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,36.75,16.03,12.45,20.3,37.84,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Yellow Gold,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,39.67,4.93,18.52,19.16,75.09,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Yellow Gold,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,36.42,5.66,17.17,18.08,71.76,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Yellow Gold,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,51.96,1.42,23.46,23.5,86.54,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Yellow Gold,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,48,0,23.54,23.54,0,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Matt,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,27.79,2.61,6.64,7.13,68.54,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Matt,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,25.24,1.92,5.77,6.08,71.59,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Cobalt Ash,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,49.66,1.24,-0.58,1.37,-25.07,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Cobalt Ash,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,40.39,1.69,-3.63,4,-65.03,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Cobalt Ash,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,33.26,1.37,1.21,1.83,41.45,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Cobalt Ash,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,35.51,0.01,0.66,0.66,89.13,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Pink Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,29.89,6.91,1.52,7.08,12.41,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Pink Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,28.54,7.76,1.81,7.97,13.13,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Pink Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,27.24,7.59,0.67,7.62,5.04,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Nature Control,Coloration Oxidation,Creme,,Nature Control,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,66.17,3.23,13.14,13.53,76.19,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Nature Control,Coloration Oxidation,Creme,,Nature Control,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,67.65,3.25,16.04,16.37,78.55,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Blue Silver,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,31.83,1.49,-13.02,13.1,-83.47,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Blue Silver,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,45.64,-0.78,-9.2,9.23,85.15,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Pink Pearl,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,29.71,9.33,-3.41,9.93,-20.08,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Blue Silver,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,36.35,0.33,-10.87,10.88,-88.26,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Pure,Coloration Oxidation,Creme,,Pink Pearl,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,31.8,8.32,-3.05,8.86,-20.13,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Pink Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,27.47,7.51,1.31,7.62,9.89,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Pink Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,30.24,6.8,1.58,6.98,13.08,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Pink Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,27.16,7.68,1.45,7.82,10.69,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Pink Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,25.77,6.35,2.02,6.66,17.65,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Pink Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,28.53,6.39,1.64,6.6,14.39,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Pink Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,26.99,6.11,1.97,6.42,17.87,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Pink Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,24.77,6.69,0.87,6.75,7.41,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Yellow Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,33.08,4.98,8.11,9.52,58.45,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Yellow Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,32.73,4.73,10.26,11.3,65.25,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Yellow Brown,,,,,49,,0,15V,,1+1.5,30,BN,Meche,BN,90,Caucasien,33.28,4.5,7.89,9.08,60.3,,,
CCNewKolestonPerfect,8/9/2005,P_G,Wella,Koleston Perfect,Deep,Coloration Oxidation,Creme,,Yellow Brown,,,,,49,,0,15V,,1+1.5,30,BP,Meche,BP,90,Caucasien,32.65,4.32,9.01,9.99,64.38,,,
